Specification,β (Δln w × informal × post_NPD),SE,p-value,N,R²
main,-0.04179917887538505,0.036119947349760304,0.24717736133289692,73435,0.0072828105634358264
controls,-0.042082260269183394,0.03614934587574642,0.2443744458623891,73435,0.007536431998621418
