specification,tested_variable,beta,se_clustered,t_observed,p_conventional,p_wild_cluster_bootstrap,n_obs,n_clusters,n_bootstrap
triple_diff,dw_x_informal_x_post,-0.04179917887538505,0.036119947349760304,-1.1572325527119693,0.24717736133289692,0.5101510151015102,73435,32,9999
informal_wage_only,dw_x_post,-0.05987994631631905,0.04295971182752731,-1.3938628489111455,0.16335902487445342,0.5037503750375038,4144,32,9999
