Specification,Variable,Coefficient,SE,p_value,N
ols,wage_growth,0.061751197704236746,0.004431213093312098,3.854575887501694e-44,72525
ols,is_informal,-0.00686212034330931,0.004497558327664428,0.12707375882069846,72525
ols,dw_x_informal,0.038822786248947354,0.01004536796462431,0.00011120528895826579,72525
iv,wage_growth_hat,0.45946826665027607,0.2070983107059203,0.026513964510664234,72525
iv,is_informal,-0.011773481105221844,0.06553558967178946,0.8574272000872268,72525
iv,dw_x_informal_hat,0.10616403379306275,0.627671281387496,0.8656868820374152,72525
