Variable,Pre-NPD mean,Post-NPD mean,Difference,t-stat,p-value
age,41.02768422294154,42.892235058478484,1.8645508355369458,-22.01429492105067,3.6921406904128556e-107
female,0.5212627937148623,0.5253406774205086,0.0040778837056463235,-1.1678033466700064,0.24288876829644887
wage,22102.081609012923,37205.441833553006,15103.360224540083,-101.09304104267822,0.0
total_consumption,20542.754793163338,31845.655042133487,11302.900248970149,-98.01563635929543,0.0
informal,0.15125907068904432,0.13006732559805184,-0.021191745090992475,8.592722423774674,8.608127715618109e-18
hours_worked,67.24552208006604,68.4135687732342,1.168046693168165,-1.609585013504585,0.10753735824152523
