sector,emp_type,beta_pre,beta_change,beta_post,se_change,p_change,N,test,difference,se,z,p,coef
B2B,formal_wage,0.05661125969074036,-0.008852619559804733,0.04775864013093563,0.027872778186185027,0.750782244439217,16663.0,,,,,,
B2B,informal_wage,0.1563797932554607,-0.09015363364890067,0.06622615960656003,0.05711672120363143,0.114471329829903,1316.0,,,,,,
Individual,formal_wage,0.05616566498673016,0.014410470374236716,0.07057613536096688,0.01505622825650617,0.3385116111306199,32345.0,,,,,,
Individual,informal_wage,0.1018725888141545,-0.004842962430645,0.0970296263835095,0.05672984645587099,0.9319681473320864,2160.0,,,,,,
,,,,,,,,B2B_minus_Individual,-0.08531067121825567,0.08050214481589953,-1.0597316557633685,0.28926669702032015,
,,,,,,,73435.0,Δw×informal×post×B2B,,0.06332337431215702,,0.42042376804327086,-0.05101877326742286
