Variable,Coefficient,SE,p_value
is_informal,-0.008078736465121396,0.01125120119718278,0.47273679080169906
post_npd_int,0.045819197215930633,0.025569928342950965,0.07314621270581796
informal_x_post,0.012165060942981202,0.014910276490915246,0.4145662953300264
