emp_type,N,beta_wg,se_wg,p_wg,beta_dw_post,se_dw_post,p_dw_post,pre_passthrough,post_passthrough
formal_wage,64146,0.05929557251198386,0.0053161620389949975,6.858842199235237e-29,0.00914643487767254,0.01109520932656708,0.4097356441528307,0.05929557251198386,0.0684420073896564
informal_wage,4144,0.12801366282478524,0.018159887272269387,1.7987919387247711e-12,-0.05987994631631905,0.04295971182752731,0.16335902487445342,0.12801366282478524,0.0681337165084662
self_employed,5145,0.08334982431254497,0.013718258618297645,1.2334707646146328e-09,0.007453701142453239,0.03827348384386392,0.8455898908769147,0.08334982431254497,0.0908035254549982
