Employment type,N,Mean Δln(c),Std Δln(c),Var Δln(c),Median Δln(c),IQR Δln(c)
Formal wage,75239,0.07949341930593927,0.530097195272546,0.2810030364358197,0.07550755250814412,0.4938367604970102
Informal wage,5785,0.08401213880129212,0.5620548953403307,0.3159057053760301,0.07696104113612812,0.512487353439262
Self-employed,5941,0.07290214444309703,0.520019453393027,0.2704202319071826,0.07624219844186086,0.47074648433905075
