Specification,Variable,Coefficient,SE,p-value,N,R2
baseline,wage_growth,0.061817545725167185,0.004395776593341943,6.416351363500723e-45,73435,0.007249385871523906
baseline,dw_x_informal,0.037320963082776014,0.009888971446842448,0.00016065174748921513,73435,0.007249385871523906
baseline,is_informal,-0.006281551525008506,0.004408346896128802,0.15417968062554435,73435,0.007249385871523906
main,wage_growth,0.059562150814696124,0.005320306814772427,4.301999003615212e-29,73435,0.0072828105634358264
main,dw_x_informal,0.047543915447475535,0.013292052173439838,0.00034773571852630795,73435,0.0072828105634358264
main,dw_x_post,0.009378209767865662,0.01120464627337734,0.40259653939219453,73435,0.0072828105634358264
main,dw_x_informal_x_post,-0.04179917887538505,0.036119947349760304,0.24717736133289692,73435,0.0072828105634358264
main,is_informal,-0.007843019033256947,0.006261480870569306,0.2103578223493694,73435,0.0072828105634358264
main,post_npd_int,0.003239712211041054,0.023117768395935507,0.8885497820456716,73435,0.0072828105634358264
main,informal_x_post,0.0066427387278411324,0.014279822977041548,0.6418000187972541,73435,0.0072828105634358264
controls,wage_growth,0.05846673977575757,0.005249144029749324,8.162853843051396e-29,73435,0.007536431998621418
controls,dw_x_informal,0.04782998358945914,0.013261392899782369,0.00031010523713900757,73435,0.007536431998621418
controls,dw_x_post,0.009237945293567957,0.01117938876536389,0.4086128122855409,73435,0.007536431998621418
controls,dw_x_informal_x_post,-0.042082260269183394,0.03614934587574642,0.2443744458623891,73435,0.007536431998621418
controls,is_informal,-0.0099223533419057,0.00630940314742936,0.11580463922897477,73435,0.007536431998621418
controls,post_npd_int,0.0030375575786989024,0.02295657533364336,0.8947331343124884,73435,0.007536431998621418
controls,informal_x_post,0.007413151700110652,0.014296503497563368,0.6040892300642469,73435,0.007536431998621418
