Specification,beta_pre,beta_change,beta_post,se_change,p_change,N
bank_1_informal_wage,0.14482235160686818,-0.025905544981989995,0.11891680662487819,0.07239503074193603,0.7204660813980956,2384
bank_1_formal_wage,0.06563257430709485,0.009965242154498311,0.07559781646159316,0.015393973019251064,0.5174073934786932,35154
bank_0_informal_wage,0.09961978382790446,-0.0863681161900947,0.013251667637809758,0.04189433571935479,0.039248668780033545,1760
bank_0_formal_wage,0.050907055793474244,0.007079901882133044,0.05798695767560729,0.017148328522081632,0.6797073529401438,28992
