Variable,Formal wage Mean,Informal wage Mean,Self-employed Mean,Formal wage Std,Informal wage Std,Self-employed Std,Formal wage N,Informal wage N,Self-employed N
Observations,90037.0,7115.0,7114.0,,,,,,
Monthly wage (RUB),25896.231856215607,22524.49091182214,33448.22967427199,21543.687993227228,19005.952130107824,26450.865324481554,85044,6657,6662
Hours worked/week,68.33848880597014,64.07272727272728,62.60909090909091,24.804809085936558,27.346686414114142,26.220631145174305,5360,770,330
Total consumption (RUB/mo),23546.941637750966,23111.781536546412,24376.915944633085,17415.220856185453,15827.195968595988,15801.838959234155,89686,7096,7068
Log consumption,9.846052924323518,9.819005915538698,9.901522792244151,0.710157052396972,0.7282518758608231,0.6686747353606542,89686,7096,7068
Consumption growth (Δ ln c),0.07949341930593927,0.08401213880129212,0.07290214444309703,0.530097195272546,0.5620548953403307,0.520019453393027,75239,5785,5941
Wage growth (Δ ln w),0.10847498582400496,0.09974452307664503,0.10576378242531785,0.44636771599330854,0.5211652027172243,0.43759291221663354,64394,4163,5164
Age,41.76393593744794,39.64736472241743,40.41790834973292,12.117455888026143,13.247639909948425,11.045857778291264,90037,7115,7114
Female,0.5504070548774392,0.43359100491918484,0.256114703401743,0.49745540228756185,0.4956050518505435,0.43651660547813126,90037,7115,7114
