cohort,npd_year,N,n_oblasts,beta_triple,se_triple,p_triple
early,2019,13854,4,-0.05446110972516443,0.07792039023626403,0.484594082657287
late,2020,59581,28,-0.049345967433221505,0.04271360552450833,0.24797776493847212
