region,total,physical_persons,individual_entrepreneurs,date
Russian Federation,9278730,8819305,459425,2024-01-01
Adygea Republic,21820,20866,954,2024-01-01
Altai Republic,12573,11824,749,2024-01-01
Altai Krai,104665,100275,4390,2024-01-01
Amur Oblast,29734,28366,1368,2024-01-01
Arkhangelsk Oblast,33740,31380,2360,2024-01-01
Astrakhan Oblast,54408,51983,2425,2024-01-01
Bashkortostan Republic,186082,175485,10597,2024-01-01
Belgorod Oblast,63502,59101,4401,2024-01-01
Bryansk Oblast,42183,40302,1881,2024-01-01
Buryatia Republic,36404,34190,2214,2024-01-01
Chechnya Republic,116501,114884,1617,2024-01-01
Chelyabinsk Oblast,191878,184323,7555,2024-01-01
Chukotka Autonomous Okrug,1079,1011,68,2024-01-01
Chuvashia Republic,54837,52472,2365,2024-01-01
Crimea Republic,127196,122571,4625,2024-01-01
Dagestan Republic,267048,261973,5075,2024-01-01
Zabaykalsky Krai,34841,32517,2324,2024-01-01
Jewish Autonomous Oblast,5121,4886,235,2024-01-01
Ingushetia Republic,16536,16045,491,2024-01-01
Ivanovo Oblast,38931,36904,2027,2024-01-01
Irkutsk Oblast,123793,118886,4907,2024-01-01
Kabardino-Balkaria Republic,71261,69344,1917,2024-01-01
Kaliningrad Oblast,67759,64202,3557,2024-01-01
Kalmykia Republic,9692,9027,665,2024-01-01
Kaluga Oblast,62702,59446,3256,2024-01-01
Kamchatka Krai,11960,11257,703,2024-01-01
Karelia Republic,30556,28420,2136,2024-01-01
Karachay-Cherkessia Republic,22353,21507,846,2024-01-01
Kemerovo Oblast,100926,96648,4278,2024-01-01
Kirov Oblast,50094,46891,3203,2024-01-01
Komi Republic,29589,27902,1687,2024-01-01
Krasnodar Krai,450853,425222,25631,2024-01-01
Krasnoyarsk Krai,165630,157474,8156,2024-01-01
Kurgan Oblast,29926,28528,1398,2024-01-01
Kursk Oblast,40075,38481,1594,2024-01-01
Leningrad Oblast,100754,94602,6152,2024-01-01
Lipetsk Oblast,44841,42795,2046,2024-01-01
Magadan Oblast,6028,5667,361,2024-01-01
Mari El Republic,24791,23377,1414,2024-01-01
Moscow,1563338,1472213,91125,2024-01-01
Moscow Oblast,652600,610058,42542,2024-01-01
Murmansk Oblast,28336,27023,1313,2024-01-01
Nenets Autonomous Okrug,1732,1633,99,2024-01-01
Nizhny Novgorod Oblast,167954,160222,7732,2024-01-01
Novgorod Oblast,27229,25381,1848,2024-01-01
Novosibirsk Oblast,200188,190908,9280,2024-01-01
Omsk Oblast,104265,100607,3658,2024-01-01
Orenburg Oblast,89677,85424,4253,2024-01-01
Orel Oblast,30452,28999,1453,2024-01-01
North Ossetia-Alania Republic,40585,39218,1367,2024-01-01
Penza Oblast,48249,45641,2608,2024-01-01
Perm Krai,149405,143151,6254,2024-01-01
Primorsky Krai,86719,81978,4741,2024-01-01
Pskov Oblast,24864,23612,1252,2024-01-01
Rostov Oblast,271152,256904,14248,2024-01-01
Ryazan Oblast,43949,41945,2004,2024-01-01
Sakha (Yakutia) Republic,44710,42159,2551,2024-01-01
Sakhalin Oblast,19819,18703,1116,2024-01-01
Samara Oblast,212917,203995,8922,2024-01-01
Saratov Oblast,102646,99136,3510,2024-01-01
Sevastopol,29118,27782,1336,2024-01-01
Sverdlovsk Oblast,264724,251855,12869,2024-01-01
Smolensk Oblast,33159,31662,1497,2024-01-01
Stavropol Krai,131062,126010,5052,2024-01-01
St. Petersburg,608617,577081,31536,2024-01-01
Tambov Oblast,30741,29362,1379,2024-01-01
Tatarstan Republic,306195,293938,12257,2024-01-01
Tver Oblast,58254,55821,2433,2024-01-01
Tomsk Oblast,57018,54288,2730,2024-01-01
Tula Oblast,55219,52279,2940,2024-01-01
Tuva Republic,16511,15917,594,2024-01-01
Tyumen Oblast,108897,103487,5410,2024-01-01
Udmurtia Republic,68276,64986,3290,2024-01-01
Ulyanovsk Oblast,56728,54328,2400,2024-01-01
Khanty-Mansiysk Autonomous Okrug,76492,72535,3957,2024-01-01
Khakassia Republic,22974,21939,1035,2024-01-01
Khabarovsk Krai,66408,62975,3433,2024-01-01
Vladimir Oblast,53076,49999,3077,2024-01-01
Vologda Oblast,45343,43014,2329,2024-01-01
Voronezh Oblast,119815,115942,3873,2024-01-01
Yamalo-Nenets Autonomous Okrug,20294,19114,1180,2024-01-01
Yaroslavl Oblast,67060,64471,2589,2024-01-01
