region,total,physical_persons,individual_entrepreneurs,date
Russian Federation,1603638,1458792,144846,2021-01-01
Moscow,482555,,,2021-01-01
Moscow Oblast,168298,,,2021-01-01
St. Petersburg,107239,,,2021-01-01
Tatarstan Republic,102624,,,2021-01-01
Samara Oblast,39998,,,2021-01-01
