region,total,physical_persons,individual_entrepreneurs,date
Russian Federation,12171657,11573086,598571,2025-01-01
Moscow,1913458,,,2025-01-01
Moscow Oblast,844501,,,2025-01-01
Voronezh Oblast,173369,,,2025-01-01
Yaroslavl Oblast,91115,,,2025-01-01
Tver Oblast,78549,,,2025-01-01
Vladimir Oblast,73098,,,2025-01-01
Tula Oblast,77493,,,2025-01-01
Kaluga Oblast,81726,,,2025-01-01
Ryazan Oblast,61974,,,2025-01-01
Smolensk Oblast,46029,,,2025-01-01
Ivanovo Oblast,53548,,,2025-01-01
Bryansk Oblast,56688,,,2025-01-01
Belgorod Oblast,84924,,,2025-01-01
Lipetsk Oblast,62540,,,2025-01-01
Kursk Oblast,54732,,,2025-01-01
Kostroma Oblast,30772,,,2025-01-01
Orel Oblast,41525,,,2025-01-01
Tambov Oblast,43051,,,2025-01-01
St. Petersburg,800467,,,2025-01-01
Leningrad Oblast,133530,,,2025-01-01
Kaliningrad Oblast,92834,,,2025-01-01
Republic of Karelia,41441,,,2025-01-01
Arkhangelsk Oblast,46813,,,2025-01-01
Vologda Oblast,65808,,,2025-01-01
Murmansk Oblast,37850,,,2025-01-01
Novgorod Oblast,37159,,,2025-01-01
Pskov Oblast,34072,,,2025-01-01
Republic of Komi,40927,,,2025-01-01
Nenets Autonomous Okrug,1986,,,2025-01-01
Krasnodar Krai,606369,,,2025-01-01
Rostov Oblast,356071,,,2025-01-01
Republic of Crimea,157433,,,2025-01-01
Volgograd Oblast,169509,,,2025-01-01
Astrakhan Oblast,71050,,,2025-01-01
Republic of Adygea,30076,,,2025-01-01
Sevastopol,35992,,,2025-01-01
Republic of Kalmykia,13011,,,2025-01-01
Republic of Dagestan,298662,,,2025-01-01
Stavropol Krai,184304,,,2025-01-01
Kabardino-Balkaria,81466,,,2025-01-01
Republic of North Ossetia-Alania,54572,,,2025-01-01
Chechen Republic,128162,,,2025-01-01
Karachay-Cherkessia,27304,,,2025-01-01
Republic of Ingushetia,20915,,,2025-01-01
Republic of Tatarstan,357316,,,2025-01-01
Republic of Bashkortostan,262852,,,2025-01-01
Samara Oblast,279687,,,2025-01-01
Saratov Oblast,145594,,,2025-01-01
Nizhny Novgorod Oblast,226852,,,2025-01-01
Perm Krai,200314,,,2025-01-01
Orenburg Oblast,122625,,,2025-01-01
Penza Oblast,68033,,,2025-01-01
Ulyanovsk Oblast,76115,,,2025-01-01
Udmurt Republic,92909,,,2025-01-01
Chuvash Republic,75265,,,2025-01-01
Kirov Oblast,69522,,,2025-01-01
Republic of Mari El,35371,,,2025-01-01
Republic of Mordovia,30918,,,2025-01-01
Sverdlovsk Oblast,360557,,,2025-01-01
Tyumen Oblast,151730,,,2025-01-01
Chelyabinsk Oblast,261381,,,2025-01-01
Khanty-Mansiysk Autonomous Okrug,102904,,,2025-01-01
Yamalo-Nenets Autonomous Okrug,27562,,,2025-01-01
Kurgan Oblast,39862,,,2025-01-01
Novosibirsk Oblast,273166,,,2025-01-01
Krasnoyarsk Krai,225321,,,2025-01-01
Irkutsk Oblast,165954,,,2025-01-01
Kemerovo Oblast,141439,,,2025-01-01
Omsk Oblast,143173,,,2025-01-01
Tomsk Oblast,78889,,,2025-01-01
Altai Krai,141398,,,2025-01-01
Republic of Altai,17455,,,2025-01-01
Republic of Tyva,21734,,,2025-01-01
Republic of Khakassia,31261,,,2025-01-01
Primorsky Krai,116848,,,2025-01-01
Khabarovsk Krai,89926,,,2025-01-01
Sakha Republic (Yakutia),58468,,,2025-01-01
Republic of Buryatia,50842,,,2025-01-01
Zabaykalsky Krai,48217,,,2025-01-01
Amur Oblast,41279,,,2025-01-01
Sakhalin Oblast,25455,,,2025-01-01
Magadan Oblast,8076,,,2025-01-01
Kamchatka Krai,15902,,,2025-01-01
Jewish Autonomous Oblast,6766,,,2025-01-01
Chukotka Autonomous Okrug,1517,,,2025-01-01
Zaporizhzhia Oblast,3829,,,2025-01-01
Donetsk People's Republic,26429,,,2025-01-01
Luhansk People's Republic,11683,,,2025-01-01
Kherson Oblast,1707,,,2025-01-01
