region,total,physical_persons,individual_entrepreneurs,date
Russian Federation,3862114,3636753,225361,2022-01-01
Belgorod Oblast,24908,22809,2099,2022-01-01
Bryansk Oblast,15821,14888,933,2022-01-01
Vladimir Oblast,20643,19235,1408,2022-01-01
Voronezh Oblast,49874,47812,2062,2022-01-01
Ivanovo Oblast,13571,12708,863,2022-01-01
Kaluga Oblast,29525,27743,1782,2022-01-01
Kostroma Oblast,7771,7208,563,2022-01-01
Kursk Oblast,14294,13539,755,2022-01-01
Lipetsk Oblast,17782,16831,951,2022-01-01
Moscow Oblast,323845,298900,24945,2022-01-01
Orel Oblast,12250,11451,799,2022-01-01
Ryazan Oblast,16991,16141,850,2022-01-01
Smolensk Oblast,11873,11193,680,2022-01-01
Tambov Oblast,10105,9487,618,2022-01-01
Tver Oblast,20336,19304,1032,2022-01-01
Tula Oblast,21305,19988,1317,2022-01-01
Yaroslavl Oblast,23375,22299,1076,2022-01-01
Moscow,866356,810223,56133,2022-01-01
Karelia Republic,12471,11374,1097,2022-01-01
Komi Republic,12025,11178,847,2022-01-01
Arkhangelsk Oblast,12708,11794,914,2022-01-01
Vologda Oblast,15619,14644,975,2022-01-01
Kaliningrad Oblast,27654,26373,1281,2022-01-01
Leningrad Oblast,45793,42840,2953,2022-01-01
Murmansk Oblast,12342,11501,841,2022-01-01
Novgorod Oblast,9633,8777,856,2022-01-01
Pskov Oblast,9528,8871,657,2022-01-01
St. Petersburg,271903,258631,13272,2022-01-01
Nenets Autonomous Okrug,786,728,58,2022-01-01
Adygea Republic,6573,6203,370,2022-01-01
Kalmykia Republic,3095,2858,237,2022-01-01
Krasnodar Krai,153127,142946,10181,2022-01-01
Astrakhan Oblast,18721,17778,943,2022-01-01
Volgograd Oblast,52138,49522,2616,2022-01-01
Rostov Oblast,102943,96279,6664,2022-01-01
Crimea Republic,40074,37751,2323,2022-01-01
Sevastopol,9095,8459,636,2022-01-01
Dagestan Republic,37123,36161,962,2022-01-01
Ingushetia Republic,2632,2545,87,2022-01-01
Kabardino-Balkaria Republic,13689,13274,415,2022-01-01
Karachay-Cherkessia Republic,4746,4544,202,2022-01-01
North Ossetia-Alania Republic,7729,7448,281,2022-01-01
Chechnya Republic,22052,21582,470,2022-01-01
Stavropol Krai,41776,38946,2830,2022-01-01
Bashkortostan Republic,76968,72597,4371,2022-01-01
Mari El Republic,9023,8552,471,2022-01-01
Mordovia Republic,8724,8166,558,2022-01-01
Tatarstan Republic,169260,162389,6871,2022-01-01
Udmurtia Republic,27275,26067,1208,2022-01-01
Chuvashia Republic,20162,19026,1136,2022-01-01
Kirov Oblast,18996,17700,1296,2022-01-01
Nizhny Novgorod Oblast,71311,67880,3431,2022-01-01
Orenburg Oblast,31302,30041,1261,2022-01-01
Penza Oblast,17051,15698,1353,2022-01-01
Perm Krai,62245,59096,3149,2022-01-01
Samara Oblast,92966,88365,4601,2022-01-01
Saratov Oblast,37146,35786,1360,2022-01-01
Ulyanovsk Oblast,20529,19462,1067,2022-01-01
Kurgan Oblast,11462,10733,729,2022-01-01
Sverdlovsk Oblast,112969,107221,5748,2022-01-01
Tyumen Oblast,45054,42648,2406,2022-01-01
Chelyabinsk Oblast,74435,71202,3233,2022-01-01
Khanty-Mansiysk Autonomous Okrug,34015,31944,2071,2022-01-01
Yamalo-Nenets Autonomous Okrug,9063,8513,550,2022-01-01
Altai Republic,4034,3647,387,2022-01-01
Tuva Republic,4661,4449,212,2022-01-01
Khakassia Republic,7604,7186,418,2022-01-01
Altai Krai,33837,31923,1914,2022-01-01
Krasnoyarsk Krai,64620,60887,3733,2022-01-01
Irkutsk Oblast,42845,40806,2039,2022-01-01
Kemerovo Oblast,38400,36259,2141,2022-01-01
Novosibirsk Oblast,83157,78892,4265,2022-01-01
Omsk Oblast,42213,40399,1814,2022-01-01
Tomsk Oblast,21667,20361,1306,2022-01-01
Buryatia Republic,11398,10610,788,2022-01-01
Sakha (Yakutia) Republic,16681,15326,1355,2022-01-01
Primorsky Krai,32486,30126,2360,2022-01-01
Khabarovsk Krai,24438,23006,1432,2022-01-01
Amur Oblast,10431,9820,611,2022-01-01
Kamchatka Krai,4198,3839,359,2022-01-01
Magadan Oblast,2538,2333,205,2022-01-01
Sakhalin Oblast,9043,8401,642,2022-01-01
Zabaykalsky Krai,9205,8689,516,2022-01-01
Jewish Autonomous Oblast,1719,1604,115,2022-01-01
Chukotka Autonomous Okrug,383,338,45,2022-01-01
