year,month,region_code,region_name,npd_total,npd_physical,npd_ie
2020,9,38,Иркутская область,4765,4363,402
2020,9,42,Кемеровская область,4980,4652,328
2020,9,54,Новосибирская область,23118,21376,1742
2020,9,55,Омская область,11409,10395,1014
2020,9,70,Томская область,3018,2766,252
2020,9,03,Республика Бурятия,1486,1309,177
2020,9,14,Республика Саха (Якутия),1756,1514,242
2020,9,25,Приморский край,4739,4279,460
2020,9,27,Хабаровский край,2871,2609,262
2020,9,28,Амурская область,1267,1157,110
2020,9,41,Камчатский край,513,445,68
2020,9,49,Магаданская область,296,265,31
2020,9,65,Сахалинская область,2386,2209,177
2020,9,75,Забайкальский край,615,528,87
2020,9,79,Еврейская автономная область,223,205,18
2020,9,87,Чукотский автономный округ,60,57,3
2020,12,00,Российская Федерация,1603638,1458792,144846
2020,12,31,Белгородская область,7264,5924,1340
2020,12,32,Брянская область,4695,3983,712
2020,12,33,Владимирская область,5759,4884,875
2020,12,36,Воронежская область,20513,19024,1489
2020,12,37,Ивановская область,3898,3443,455
2020,12,40,Калужская область,15979,14568,1411
2020,12,44,Костромская область,2258,1895,363
2020,12,46,Курская область,3709,3160,549
2020,12,48,Липецкая область,5108,4401,707
2020,12,50,Московская область,168298,152446,15852
2020,12,57,Орловская область,3229,2759,470
2020,12,62,Рязанская область,5041,4547,494
2020,12,67,Смоленская область,3348,3029,319
2020,12,68,Тамбовская область,2462,2107,355
2020,12,69,Тверская область,5607,4955,652
2020,12,71,Тульская область,6554,5665,889
2020,12,76,Ярославская область,6529,5932,597
2020,12,77,г.Москва,482555,442335,40220
2020,12,10,Республика Карелия,3683,3151,532
2020,12,11,Республика Коми,3416,2862,554
2020,12,29,Архангельская область,3621,3048,573
2020,12,35,Вологодская область,4414,3784,630
2020,12,39,Калининградская область,8926,8099,827
2020,12,47,Ленинградская область,19810,17662,2148
2020,12,51,Мурманская область,3738,3231,507
2020,12,53,Новгородская область,2607,2092,515
2020,12,60,Псковская область,2757,2288,469
2020,12,78,г.Санкт-Петербург,107239,99823,7416
2020,12,83,Ненецкий автономный округ,390,359,31
2020,12,01,Республика Адыгея (Адыгея),2069,1899,170
2020,12,08,Республика Калмыкия,758,639,119
2020,12,23,Краснодарский край,42127,36918,5209
2020,12,30,Астраханская область,4792,4120,672
2020,12,34,Волгоградская область,21508,19574,1934
2020,12,61,Ростовская область,39775,35823,3952
2020,12,91,Республика Крым,10782,9566,1216
2020,12,92,г.Севастополь,2066,1840,226
2020,12,05,Республика Дагестан,3811,3480,331
2020,12,06,Республика Ингушетия,108,96,12
2020,12,07,Кабардино-Балкарская Республика,1567,1437,130
2020,12,09,Карачаево-Черкесская Республика,500,439,61
2020,12,15,Республика Северная Осетия - Алания,1611,1525,86
2020,12,20,Чеченская Республика,2059,1938,121
2020,12,26,Ставропольский край,11762,9953,1809
2020,12,02,Республика Башкортостан,31824,29055,2769
2020,12,12,Республика Марий Эл,2024,1783,241
2020,12,13,Республика Мордовия,2413,2071,342
2020,12,16,Республика Татарстан (Татарстан),102624,97487,5137
2020,12,18,Удмуртская Республика,8099,7391,708
2020,12,21,Чувашская Республика - Чувашия,6324,5600,724
2020,12,43,Кировская область,5175,4615,560
2020,12,52,Нижегородская область,29483,27019,2464
2020,12,56,Оренбургская область,8367,7514,853
2020,12,58,Пензенская область,4995,4164,831
2020,12,59,Пермский край,23734,22047,1687
2020,12,63,Самарская область,39998,37117,2881
2020,12,64,Саратовская область,10078,9303,775
2020,12,73,Ульяновская область,5734,5112,622
2020,12,45,Курганская область,4178,3574,604
2020,12,66,Свердловская область,46271,42325,3946
2020,12,72,Тюменская область,17846,16200,1646
2020,12,74,Челябинская область,28378,25827,2551
2020,12,86,Ханты-Мансийский автономный округ - Югра,13817,12494,1323
2020,12,89,Ямало-Ненецкий автономный округ,3652,3287,365
2020,12,04,Республика Алтай,961,791,170
2020,12,17,Республика Тыва,1041,915,126
2020,12,19,Республика Хакасия,1963,1725,238
2020,12,22,Алтайский край,9290,8129,1161
2020,12,24,Красноярский край,24548,22325,2223
2020,12,38,Иркутская область,10626,9475,1151
2020,12,42,Кемеровская область,10380,9350,1030
2020,12,54,Новосибирская область,33266,30610,2656
2020,12,55,Омская область,16763,15321,1442
2020,12,70,Томская область,6115,5379,736
2020,12,03,Республика Бурятия,3395,2969,426
2020,12,14,Республика Саха (Якутия),4910,4223,687
2020,12,25,Приморский край,9193,7779,1414
2020,12,27,Хабаровский край,6032,5276,756
2020,12,28,Амурская область,3071,2621,450
2020,12,41,Камчатский край,1148,964,184
2020,12,49,Магаданская область,715,581,134
2020,12,65,Сахалинская область,3885,3496,389
2020,12,75,Забайкальский край,2002,1663,339
2020,12,79,Еврейская автономная область,489,410,79
2020,12,87,Чукотский автономный округ,129,102,27
2021,3,00,Российская Федерация,2069373,1920385,148988
2021,3,31,Белгородская область,11382,10020,1362
2021,3,32,Брянская область,7184,6614,570
2021,3,33,Владимирская область,9152,8358,794
2021,3,36,Воронежская область,26645,25369,1276
2021,3,37,Ивановская область,5970,5455,515
2021,3,40,Калужская область,18628,17289,1339
2021,3,44,Костромская область,3462,3077,385
2021,3,46,Курская область,5862,5347,515
2021,3,48,Липецкая область,7881,7206,675
2021,3,50,Московская область,199442,182367,17075
2021,3,57,Орловская область,5188,4732,456
2021,3,62,Рязанская область,7731,7233,498
2021,3,67,Смоленская область,5303,4913,390
2021,3,68,Тамбовская область,4215,3842,373
2021,3,69,Тверская область,8867,8208,659
2021,3,71,Тульская область,10008,9053,955
2021,3,76,Ярославская область,10053,9432,621
2021,3,77,г.Москва,565228,524027,41201
2021,3,10,Республика Карелия,5670,5113,557
2021,3,11,Республика Коми,5185,4687,498
2021,3,29,Архангельская область,5580,5035,545
2021,3,35,Вологодская область,7177,6621,556
2021,3,39,Калининградская область,13212,12341,871
2021,3,47,Ленинградская область,25518,23255,2263
2021,3,51,Мурманская область,5579,5098,481
2021,3,53,Новгородская область,3912,3384,528
2021,3,60,Псковская область,4155,3727,428
2021,3,78,г.Санкт-Петербург,143715,135123,8592
2021,3,83,Ненецкий автономный округ,491,460,31
2021,3,01,Республика Адыгея (Адыгея),2922,2736,186
2021,3,08,Республика Калмыкия,1247,1090,157
2021,3,23,Краснодарский край,65493,59976,5517
2021,3,30,Астраханская область,8053,7415,638
2021,3,34,Волгоградская область,27808,25922,1886
2021,3,61,Ростовская область,52056,48061,3995
2021,3,91,Республика Крым,15967,14793,1174
2021,3,92,г.Севастополь,3508,3224,284
2021,3,05,Республика Дагестан,5960,5579,381
2021,3,06,Республика Ингушетия,355,334,21
2021,3,07,Кабардино-Балкарская Республика,2587,2416,171
2021,3,09,Карачаево-Черкесская Республика,975,919,56
2021,3,15,Республика Северная Осетия - Алания,2857,2752,105
2021,3,20,Чеченская Республика,2765,2616,149
2021,3,26,Ставропольский край,17986,16175,1811
2021,3,02,Республика Башкортостан,41763,38905,2858
2021,3,12,Республика Марий Эл,3475,3242,233
2021,3,13,Республика Мордовия,3883,3566,317
2021,3,16,Республика Татарстан (Татарстан),116195,111028,5167
2021,3,18,Удмуртская Республика,12596,11854,742
2021,3,21,Чувашская Республика - Чувашия,9582,8921,661
2021,3,43,Кировская область,8104,7494,610
2021,3,52,Нижегородская область,39450,37003,2447
2021,3,56,Оренбургская область,13503,12651,852
2021,3,58,Пензенская область,7795,6972,823
2021,3,59,Пермский край,31278,29603,1675
2021,3,63,Самарская область,50541,47517,3024
2021,3,64,Саратовская область,16305,15459,846
2021,3,73,Ульяновская область,8762,8097,665
2021,3,45,Курганская область,5745,5221,524
2021,3,66,Свердловская область,60993,56983,4010
2021,3,72,Тюменская область,23533,21964,1569
2021,3,74,Челябинская область,38045,35542,2503
2021,3,86,Ханты-Мансийский автономный округ - Югра,18314,17038,1276
2021,3,89,Ямало-Ненецкий автономный округ,4841,4497,344
2021,3,04,Республика Алтай,1451,1272,179
2021,3,17,Республика Тыва,1673,1526,147
2021,3,19,Республика Хакасия,3015,2760,255
2021,3,22,Алтайский край,14215,13036,1179
2021,3,24,Красноярский край,31670,29308,2362
2021,3,38,Иркутская область,16499,15231,1268
2021,3,42,Кемеровская область,15917,14880,1037
2021,3,54,Новосибирская область,43061,40557,2504
2021,3,55,Омская область,22136,20697,1439
2021,3,70,Томская область,9401,8590,811
2021,3,03,Республика Бурятия,4857,4433,424
2021,3,14,Республика Саха (Якутия),7249,6349,900
2021,3,25,Приморский край,14211,12747,1464
2021,3,27,Хабаровский край,9699,8885,814
2021,3,28,Амурская область,4597,4175,422
2021,3,41,Камчатский край,1748,1548,200
2021,3,49,Магаданская область,1067,950,117
2021,3,65,Сахалинская область,4883,4520,363
2021,3,75,Забайкальский край,3409,3099,310
2021,3,79,Еврейская автономная область,785,710,75
2021,3,87,Чукотский автономный округ,193,161,32
2021,4,00,Российская Федерация,2250005,2096205,153800
2021,4,31,Белгородская область,12873,11478,1395
2021,4,32,Брянская область,8139,7549,590
2021,4,33,Владимирская область,10436,9607,829
2021,4,36,Воронежская область,28740,27399,1341
2021,4,37,Ивановская область,6721,6179,542
2021,4,40,Калужская область,19730,18373,1357
2021,4,44,Костромская область,3912,3508,404
2021,4,46,Курская область,6751,6225,526
2021,4,48,Липецкая область,9008,8318,690
2021,4,50,Московская область,212365,194677,17688
2021,4,57,Орловская область,5833,5352,481
2021,4,62,Рязанская область,8668,8143,525
2021,4,67,Смоленская область,5920,5509,411
2021,4,68,Тамбовская область,4816,4426,390
2021,4,69,Тверская область,10067,9378,689
2021,4,71,Тульская область,11038,10106,932
2021,4,76,Ярославская область,11391,10754,637
2021,4,77,г.Москва,597882,555679,42203
2021,4,10,Республика Карелия,6391,5838,553
2021,4,11,Республика Коми,5788,5284,504
2021,4,29,Архангельская область,6334,5780,554
2021,4,35,Вологодская область,8061,7481,580
2021,4,39,Калининградская область,14859,13953,906
2021,4,47,Ленинградская область,27690,25372,2318
2021,4,51,Мурманская область,6188,5690,498
2021,4,53,Новгородская область,4440,3887,553
2021,4,60,Псковская область,4692,4248,444
2021,4,78,г.Санкт-Петербург,156946,148038,8908
2021,4,83,Ненецкий автономный округ,532,501,31
2021,4,01,Республика Адыгея (Адыгея),3290,3090,200
2021,4,08,Республика Калмыкия,1373,1209,164
2021,4,23,Краснодарский край,74087,68253,5834
2021,4,30,Астраханская область,9091,8442,649
2021,4,34,Волгоградская область,30437,28502,1935
2021,4,61,Ростовская область,57059,52891,4168
2021,4,91,Республика Крым,18235,16978,1257
2021,4,92,г.Севастополь,4016,3707,309
2021,4,05,Республика Дагестан,6757,6362,395
2021,4,06,Республика Ингушетия,548,521,27
2021,4,07,Кабардино-Балкарская Республика,3172,2988,184
2021,4,09,Карачаево-Черкесская Республика,1200,1137,63
2021,4,15,Республика Северная Осетия - Алания,3293,3177,116
2021,4,20,Чеченская Республика,3125,2961,164
2021,4,26,Ставропольский край,20375,18485,1890
2021,4,02,Республика Башкортостан,45394,42449,2945
2021,4,12,Республика Марий Эл,4001,3750,251
2021,4,13,Республика Мордовия,4470,4136,334
2021,4,16,Республика Татарстан (Татарстан),121904,116629,5275
2021,4,18,Удмуртская Республика,14232,13523,709
2021,4,21,Чувашская Республика - Чувашия,10641,9985,656
2021,4,43,Кировская область,9222,8595,627
2021,4,52,Нижегородская область,43062,40523,2539
2021,4,56,Оренбургская область,15541,14721,820
2021,4,58,Пензенская область,8987,8136,851
2021,4,59,Пермский край,34608,32845,1763
2021,4,63,Самарская область,54960,51846,3114
2021,4,64,Саратовская область,18694,17806,888
2021,4,73,Ульяновская область,9905,9199,706
2021,4,45,Курганская область,6396,5866,530
2021,4,66,Свердловская область,66371,62309,4062
2021,4,72,Тюменская область,25564,23942,1622
2021,4,74,Челябинская область,41901,39325,2576
2021,4,86,Ханты-Мансийский автономный округ - Югра,19872,18593,1279
2021,4,89,Ямало-Ненецкий автономный округ,5203,4845,358
2021,4,04,Республика Алтай,1761,1565,196
2021,4,17,Республика Тыва,2000,1848,152
2021,4,19,Республика Хакасия,3372,3099,273
2021,4,22,Алтайский край,16329,15097,1232
2021,4,24,Красноярский край,34619,32141,2478
2021,4,38,Иркутская область,18737,17430,1307
2021,4,42,Кемеровская область,18227,17102,1125
2021,4,54,Новосибирская область,47183,44562,2621
2021,4,55,Омская область,24409,22969,1440
2021,4,70,Томская область,10526,9675,851
2021,4,03,Республика Бурятия,5480,5023,457
2021,4,14,Республика Саха (Якутия),8301,7326,975
2021,4,25,Приморский край,16155,14624,1531
2021,4,27,Хабаровский край,11079,10237,842
2021,4,28,Амурская область,5144,4705,439
2021,4,41,Камчатский край,1959,1747,212
2021,4,49,Магаданская область,1217,1094,123
2021,4,65,Сахалинская область,5295,4911,384
2021,4,75,Забайкальский край,3931,3618,313
2021,4,79,Еврейская автономная область,878,802,76
2021,4,87,Чукотский автономный округ,206,172,34
2021,5,00,Российская Федерация,2397765,2240043,157722
2021,5,31,Белгородская область,14134,12709,1425
2021,5,32,Брянская область,8873,8271,602
2021,5,33,Владимирская область,11346,10495,851
2021,5,36,Воронежская область,30547,29148,1399
2021,5,37,Ивановская область,7318,6761,557
2021,5,40,Калужская область,20554,19176,1378
2021,5,44,Костромская область,4294,3875,419
2021,5,46,Курская область,7410,6865,545
2021,5,48,Липецкая область,9867,9204,663
2021,5,50,Московская область,223070,204801,18269
2021,5,57,Орловская область,6407,5911,496
2021,5,62,Рязанская область,9378,8836,542
2021,5,67,Смоленская область,6474,6061,413
2021,5,68,Тамбовская область,5353,4941,412
2021,5,69,Тверская область,10937,10245,692
2021,5,71,Тульская область,11875,10949,926
2021,5,76,Ярославская область,12429,11751,678
2021,5,77,г.Москва,623516,580523,42993
2021,5,10,Республика Карелия,6972,6428,544
2021,5,11,Республика Коми,6308,5768,540
2021,5,29,Архангельская область,6886,6314,572
2021,5,35,Вологодская область,8814,8214,600
2021,5,39,Калининградская область,16224,15303,921
2021,5,47,Ленинградская область,29648,27291,2357
2021,5,51,Мурманская область,6724,6206,518
2021,5,53,Новгородская область,4909,4339,570
2021,5,60,Псковская область,5073,4619,454
2021,5,78,г.Санкт-Петербург,168143,158993,9150
2021,5,83,Ненецкий автономный округ,564,532,32
2021,5,01,Республика Адыгея (Адыгея),3568,3378,190
2021,5,08,Республика Калмыкия,1482,1317,165
2021,5,23,Краснодарский край,81963,75926,6037
2021,5,30,Астраханская область,9976,9310,666
2021,5,34,Волгоградская область,32569,30597,1972
2021,5,61,Ростовская область,61201,56973,4228
2021,5,91,Республика Крым,20354,19002,1352
2021,5,92,г.Севастополь,4442,4110,332
2021,5,05,Республика Дагестан,7430,6990,440
2021,5,06,Республика Ингушетия,656,625,31
2021,5,07,Кабардино-Балкарская Республика,3787,3589,198
2021,5,09,Карачаево-Черкесская Республика,1430,1362,68
2021,5,15,Республика Северная Осетия - Алания,3726,3598,128
2021,5,20,Чеченская Республика,3510,3332,178
2021,5,26,Ставропольский край,22288,20335,1953
2021,5,02,Республика Башкортостан,48059,45018,3041
2021,5,12,Республика Марий Эл,4415,4161,254
2021,5,13,Республика Мордовия,4899,4554,345
2021,5,16,Республика Татарстан (Татарстан),126363,121011,5352
2021,5,18,Удмуртская Республика,15417,14662,755
2021,5,21,Чувашская Республика - Чувашия,11463,10814,649
2021,5,43,Кировская область,10111,9467,644
2021,5,52,Нижегородская область,45654,43060,2594
2021,5,56,Оренбургская область,17265,16420,845
2021,5,58,Пензенская область,9849,8957,892
2021,5,59,Пермский край,37150,35338,1812
2021,5,63,Самарская область,58451,55256,3195
